timestamp,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,mbps,drop_delta,error_delta
2026-05-14T15:13:28,7118,13634,0,0,0,0,0.0,0,0
2026-05-14T15:13:30,7118,13634,0,0,0,0,0.0,0,0
2026-05-14T15:13:32,7118,13634,0,0,0,0,0.0,0,0
2026-05-14T15:13:34,7118,13634,0,0,0,0,0.0,0,0
2026-05-14T15:13:36,7118,13634,0,0,0,0,0.0,0,0
2026-05-14T15:13:38,7118,13634,0,0,0,0,0.0,0,0
2026-05-14T15:13:40,7118,13634,0,0,0,0,0.0,0,0
2026-05-14T15:13:42,7118,13634,0,0,0,0,0.0,0,0
2026-05-14T15:13:44,7188,13704,0,0,0,0,0.001,0,0
2026-05-14T15:13:47,7188,13704,0,0,0,0,0.0,0,0
2026-05-14T15:13:49,7188,13704,0,0,0,0,0.0,0,0
2026-05-14T15:13:51,7188,13704,0,0,0,0,0.0,0,0
2026-05-14T15:13:53,7188,13704,0,0,0,0,0.0,0,0
2026-05-14T15:13:55,7188,13704,0,0,0,0,0.0,0,0
2026-05-14T15:13:57,7188,13704,0,0,0,0,0.0,0,0
2026-05-14T15:14:01,7188,13704,0,0,0,0,0.0,0,0
2026-05-14T15:14:03,7188,13704,0,0,0,0,0.0,0,0
2026-05-14T15:14:05,7188,13704,0,0,0,0,0.0,0,0
2026-05-14T15:14:07,7188,13704,0,0,0,0,0.0,0,0
2026-05-14T15:14:09,7188,13704,0,0,0,0,0.0,0,0
2026-05-14T15:14:11,7188,13704,0,0,0,0,0.0,0,0
2026-05-14T15:14:13,7188,13704,0,0,0,0,0.0,0,0
2026-05-14T15:14:15,7188,13704,0,0,0,0,0.0,0,0
2026-05-14T15:14:17,7258,13774,0,0,0,0,0.001,0,0
2026-05-14T15:14:19,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:14:22,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:14:24,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:14:26,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:14:28,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:14:30,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:14:32,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:14:34,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:14:36,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:14:38,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:14:40,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:14:42,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:14:45,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:14:47,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:14:49,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:14:51,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:14:53,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:14:55,7258,13774,0,0,0,0,0.0,0,0
2026-05-14T15:14:57,7258,13774,0,0,0,0,0.0,0,0
